id	order	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
1	0	Check Your Vehicle's Levels	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	AdBlue below required level	0	0	0	0	1	1	Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.	N/A	1	1	
2	0	Check Your Vehicle's Levels	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Coolant below required level	0	0	0	0	1	1	Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.	N/A	1	1	
3	0	Check Your Vehicle's Levels	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Engine oil below required level	0	0	0	0	1	1	Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.	N/A	1	1	
4	0	Check Your Vehicle's Levels	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Are the vehicle's coolant, engine oil and screenwash levels sufficient?	Screenwash below required level	0	0	0	0	1	1	Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.	N/A	1	1	
5	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
6	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
7	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
8	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
9	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
10	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
11	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
12	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
13	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
14	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
15	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
16	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
17	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
18	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
19	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Exhaust (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
20	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Exhaust (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
21	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Horn (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
22	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Horn (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
23	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Lights (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
24	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Lights (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
25	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Oil (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
26	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Oil (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
27	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Parking brake (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
28	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Parking brake (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
29	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Service/Spanner (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
30	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Service/Spanner (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
31	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Speedo (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
32	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Speedo (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
33	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Steering (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
34	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Steering (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
35	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Tachograph (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1	
36	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Tachograph (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1	
